Dow Jones - Industrial Average Index 11/04/2008
Symbol,Name,Last,Change,Change %
AA,Alcoa Inc,12.47,0.59,4.97%
AXP,American Express Company,29.82,1.5,5.30%
BA,Boeing Co.,53.62,0.77,1.46%
BAC,Bank of America Corporation,24.53,0.92,3.90%
C,Citigroup,14.68,0.69,4.93%
CAT,Caterpillar Inc.,42.25,3.24,8.31%
CVX,Chevron Corp,78.19,4.5,6.11%
DD,E.I. du Pont de Nemours and Company,33.23,1.2,3.75%
DIS,Walt Disney Company (The) (Holding Company),26.02,0.98,3.91%
GE,General Electric Company,20.77,1.47,7.62%
GM,General Motors Corporation,5.72,0.07,1.24%
HD,The Home Depot,23.39,1.17,5.27%
HPQ,Hewlett-Packard Co.,38.24,-0.37,-0.96%
IBM,International Business Machines,93.4,0.72,0.78%
INTC,Intel Corporation,16.26,0.62,3.96%
JNJ,Johnson & Johnson,61.89,0.73,1.19%
JPM,JP Morgan & Chase & Co,42.17,1.44,3.54%
KFT,Kraft Foods Inc.,30.51,1.2,4.09%
KO,The Coca-Cola Company,46.03,0.58,1.28%
MCD,McDonald's Corporation,57.78,0.75,1.32%
MMM,3m Co,65.61,1.5,2.34%
MRK,Merck & Co.,31.13,1.16,3.87%
MSFT,Microsoft Corporation,23.53,0.91,4.02%
PFE,Pfizer Inc,18.41,0.65,3.66%
PG,The Procter & Gamble Company,66.07,1.67,2.59%
T,AT&T Inc.,29.28,1.47,5.29%
UTX,United Technologies Corporation,57.25,3,5.53%
VZ,Verizon Communications,32.61,1.86,6.05%
WMT,Wal-Mart Stores,56.13,0.16,0.29%
XOM,Exxon Mobil Corp,77.49,3.2,4.31%
