Dow Jones - US Oil & Gas Index Industry 11/4/2008
Symbol,Company Name,Last,Change,Chg %
BRGYY,BG Group PLC,78.96,6.71,9.29
BP,BP plc,51.26,2.79,5.76
CVX,Chevron Corp,78.19,4.5,6.11
SNP,China Pete & Chem Corp,65.2,3.24,5.23
COP,ConocoPhillips,55.77,4.21,8.17
EC,Ecopetrol SA,16.75,-0.2,-1.18
E,ENI S.p.A.,47.11,-0.94,-1.96
XOM,Exxon Mobil Corp,74.29,0.17,0.23
GZPFY,Gazprom Neft,14.25,1.95,15.85
HES,Hess Corp,57.72,-2.49,-4.14
HSE,Husky Energy,35.24,-0.96,-2.65
IMO,Imperial Oil Limited,34.72,-0.72,-2.03
IOC,InterOil Corporation,14.25,-0.22,-1.52
MRO,Marathon Oil Corp,27.91,-1.19,-4.09
MGYOY,Mol Magyar Olaj-Es Gazipari,32.78,2.16,7.06
MUR,Murphy Oil Corporation,48.7,-1.94,-3.83
OMVKY,Omv Ag,35.4,3.25,10.1
PCZ,Petro-Canada,24.2,-0.76,-3.04
PZE,Petrobras Energia Partcptns,6.31,0.1,1.61
PTR,Petrochina Co Ltd,76.23,1.65,2.21
PBR,Petroleo Brasileiro Sa Petro,26.37,-0.52,-1.93
PBRA,Petroleo Brasileiro Sa Petro,21.61,-0.46, -2.08
REPPRA,Repsol Intl Cap Ltd,18.99,0,0
RDSA,Royal Dutch Shell Plc,54.81,0,0
SSL,Sasol Ltd,28.8,-0.13,-0.45
STO,Statoilhydro Asa,20.01,-0.09,-0.45
SU,Suncor Energy Inc.,23.12,-0.8,-3.35
SGTZY,Surgutneftegaz Jsc,6.6,0.06,0.92
YPF,YPF Sociedad Anonima,48.58,2.61,5.68
